t,rss_a_kb,rss_b_kb,rss_r_kb,height_a,pending_a
1788764167,8352,9460,7564,1,1
1788764169,40660,43500,21264,2,551
1788764171,69816,70788,43980,4,746
1788764173,95580,96656,63436,5,1167
1788764175,121936,121672,100424,6,1000
1788764177,82696,188632,159772,8,600
1788764179,133456,147008,170752,8,600
1788764182,153956,166600,203752,9,400
1788764184,177060,177528,125064,10,200
1788764186,188908,288132,147164,11,0
1788764188,188916,288132,147180,11,0
1788764190,188928,288132,147180,11,0
1788764192,188936,288132,147180,11,0
1788764194,188956,288132,147184,11,0
1788764196,188968,288132,147184,11,0
1788764198,188984,288132,147184,11,0
1788764200,189000,288132,147196,11,0
1788764202,189016,288132,147200,11,0
1788764204,189036,288132,147200,11,0
1788764206,189052,288132,147200,11,0
1788764208,189064,288132,147200,11,0
1788764210,189080,157648,147200,11,0
1788764213,189096,157648,147212,11,0
1788764215,189112,157648,147232,11,0
1788764217,189132,157648,147252,11,0
1788764219,189148,157648,147272,11,0
1788764221,189160,157648,147296,11,0
1788764223,189176,157648,147320,11,0
1788764225,154944,157652,147340,11,0
1788764227,154948,157652,147360,11,0
1788764229,154948,157652,147384,11,0
1788764231,154948,157652,147404,11,0
1788764233,154948,157652,147424,11,0
1788764235,154948,157652,147448,11,0
1788764237,154948,157652,147472,11,0
1788764239,154948,157652,147496,11,0
1788764241,154948,157652,147516,11,0
1788764244,154948,157652,147560,11,0
1788764246,154948,157652,147580,11,0
1788764248,154948,157652,147600,11,0
1788764250,154948,157652,147624,11,0
1788764252,154948,157656,147644,11,0
1788764254,154956,157660,147668,11,0
1788764256,154956,157660,147688,11,0
1788764258,154956,157660,147712,11,0
1788764260,154960,157664,147732,11,0
1788764262,154960,157664,111064,11,0
1788764264,154960,157664,111064,11,0
1788764266,154960,157664,111064,11,0
1788764268,154960,157668,111064,11,0
1788764270,154964,157668,111064,11,0
1788764272,154968,157668,111064,11,0
1788764274,154968,157668,111064,11,0
1788764276,154968,157668,111064,11,0
1788764279,154968,157668,111064,11,0
1788764281,154968,157668,111064,11,0
1788764283,154984,157672,111064,11,0
1788764285,154984,157676,111064,11,0
1788764287,154984,157676,111064,11,0
1788764289,154984,157676,111064,11,0
1788764291,154984,157676,111064,11,0
1788764293,154988,157676,111064,11,0
1788764295,154988,157676,111064,11,0
1788764297,154988,157676,111064,11,0
1788764299,154988,157676,111064,11,0
1788764301,154988,157680,111064,11,0
1788764303,154988,157680,111064,11,0
1788764305,154992,157680,111064,11,0
1788764307,154992,157680,111064,11,0
1788764309,154992,157680,111064,11,0
1788764311,154992,157680,111064,11,0
1788764313,154996,157684,111064,11,0
1788764315,155004,157688,111064,11,0
1788764318,155004,157688,111064,11,0
1788764320,155004,157688,111064,11,0
1788764322,155004,157688,111064,11,0
1788764324,155004,157688,111064,11,0
1788764326,155008,157688,111064,11,0
1788764328,155008,157688,111064,11,0
1788764330,155008,157688,111064,11,0
1788764332,155008,157692,111064,11,0
1788764334,155008,157692,111064,11,0
1788764336,155008,157692,111064,11,0
1788764338,155012,157692,111064,11,0
1788764340,155012,157692,111064,11,0
1788764342,155012,157692,111064,11,0
1788764344,155016,157696,111068,11,0
1788764346,155016,157700,111068,11,0
1788764348,155020,157704,111068,11,0
1788764350,155020,157704,111068,11,0
1788764352,155020,157704,111068,11,0
1788764355,155020,157704,111068,11,0
1788764357,155024,157704,111068,11,0
1788764359,155024,157704,111076,11,0
1788764361,155028,157704,111076,11,0
1788764363,155028,157704,111076,11,0
1788764365,155028,157708,111076,11,0
1788764367,155028,157708,111076,11,0
1788764369,155028,157708,111076,11,0
1788764371,155028,157708,111080,11,0
1788764373,155036,157712,111080,11,0
1788764375,155036,157712,111080,11,0
1788764377,155036,157712,111080,11,0
1788764379,155036,157712,111080,11,0
1788764381,155036,157716,111080,11,0
1788764383,155040,157716,111084,11,0
1788764385,155040,157716,111084,11,0
1788764387,155040,157716,111084,11,0
1788764389,155040,157720,111084,11,0
1788764392,155040,157720,111084,11,0
1788764394,155040,157720,111084,11,0
1788764396,155040,157724,111088,11,0
1788764398,155040,157724,111088,11,0
1788764400,155044,157724,111088,11,0
1788764402,155044,157724,111092,11,0
1788764404,155048,157728,111092,11,0
1788764406,155048,157728,111092,11,0
1788764408,155048,157728,111096,11,0
1788764410,155048,157728,111096,11,0
1788764412,155048,157732,111096,11,0
1788764414,155048,157732,111096,11,0
1788764416,155048,157732,111096,11,0
